Date,Total_Accidents
2019-07-18,35
2019-07-19,34
2019-07-20,19
2019-07-21,15
2019-07-22,33
2019-07-23,34
2019-07-24,23
2019-07-25,26
2019-07-26,29
2019-07-27,19
2019-07-28,16
2019-07-29,28
2019-07-30,35
2019-07-31,36
2019-08-01,41
2019-08-02,41
2019-08-03,26
2019-08-04,25
2019-08-05,25
2019-08-06,38
2019-08-07,31
2019-08-08,41
2019-08-09,48
2019-08-10,28
2019-08-11,18
2019-08-12,26
2019-08-13,34
2019-08-14,43
2019-08-15,39
2019-08-16,41
2019-08-17,23
2019-08-18,15
2019-08-19,38
2019-08-20,41
2019-08-21,31
2019-08-22,41
2019-08-23,32
2019-08-24,26
